Task,Team,Score
Poster,Tobi,35
Poster,SCC,40
Poster,Nimbro,35
Poster,Bit,35
HRI,Tobi,80
HRI,Tobi,80
HRI,SCC,0
HRI,SCC,0
HRI,Bit,0
HRI,Bit,0
HRI,Nimbro,315
HRI,Nimbro,530
PP,Tobi,0
PP,Tobi,0
PP,SCC,0
PP,SCC,0
PP,Bit,0
PP,Bit,0
PP,Nimbro,135
PP,Nimbro,0
DL,Tobi,15
DL,Tobi,15
DL,SCC,15
DL,SCC,15
DL,Bit,0
DL,Bit,0
DL,Nimbro,15
DL,Nimbro,0
GPSR,Tobi,495
GPSR,Tobi,555
GPSR,SCC,195
GPSR,SCC,0
GPSR,Nimbro,805
GPSR,Nimbro,805
GPSR,Bit,0
GPSR,Bit,0
HRI,Tobi,190
HRI,Tobi,260
HRI,SCC,145
HRI,SCC,50
HRI,Bit,0
HRI,Bit,0
HRI,Nimbro,615
HRI,Nimbro,365
PP,Tobi,170
PP,Tobi,0
PP,SCC,35
PP,SCC,35
PP,Bit,0
PP,Bit,0
PP,Nimbro,145
PP,Nimbro,85
DL,Tobi,15
DL,Tobi,15
DL,SCC,15
DL,SCC,15
DL,Bit,0
DL,Bit,0
DL,Nimbro,115
DL,Nimbro,15
GPSR,Tobi,555
GPSR,Tobi,0
GPSR,SCC,570
GPSR,SCC,570
GPSR,Nimbro,355
GPSR,Nimbro,470
GPSR,Bit,0
GPSR,Bit,0
HRI,Tobi,480
HRI,Tobi,0
HRI,SCC,360
HRI,SCC,510
HRI,Bit,0
HRI,Bit,0
HRI,Nimbro,880
HRI,Nimbro,860
PP,Tobi,0
PP,Tobi,85
PP,SCC,15
PP,SCC,15
PP,Bit,0
PP,Bit,0
PP,Nimbro,135
PP,Nimbro,135